;Chapter 1;Chapter 2;Chapter 3;Chapter 4;Chapter 5;Chapter 6;Chapter 7;Chapter 8;Chapter 9;Chapter 10;Chapter 11;Chapter 12
1;alice;alice;said;alice;said;said;said;said;said;said;said;said
2;little;little;alice;little;alice;alice;alice;alice;alice;gryphon;king;alice
3;think;mouse;mouse;said;caterpillar;cat;hatter;queen;mock;turtle;hatter;king
4;way;im;dodo;one;im;like;dormouse;head;turtle;alice;alice;would
5;like;said;know;rabbit;pigeon;duchess;march;three;gryphon;mock;court;jury
6;see;dear;soon;bill;little;little;hare;king;duchess;would;dormouse;little
7;one;go;one;thought;well;much;time;one;went;dance;one;queen
8;said;must;long;sure;serpent;would;know;went;queen;beautiful;witness;know
9;could;oh;dry;heard;ive;baby;well;began;never;soup;queen;one
10;time;went;round;get;one;mad;one;came;little;wont;rabbit;rabbit
11;thought;thought;thing;came;know;thought;went;like;dont;voice;began;white
12;eat;like;would;window;think;could;thing;see;say;join;thought;gave
13;get;way;lory;thing;youth;footman;little;soldiers;know;like;white;head
14;went;feet;could;made;dont;went;say;two;moral;could;im;nothing
15;found;pool;question;quite;last;know;twinkle;cat;quite;know;voice;could
16;well;cried;birds;great;got;see;think;looked;day;whiting;march;theres
17;nothing;one;quite;moment;size;get;dont;gardeners;like;first;next;must
18;door;could;course;like;cant;door;tea;dont;thought;sea;quite;dream
19;would;cats;ill;room;tried;pig;replied;could;come;soooop;could;voice
20;wonder;ill;must;went;see;way;like;hedgehog;well;replied;added;sister
